symbol,target_weight,score,rank,mom_12_1,mom_6,trend_200,sma200_slope_pos,adv_20_median,vol_90,price
EVN.AU,0.03449866533899841,1.8632828004370416,1,1.2683397683397684,0.6912928759894459,True,True,69295464.29,0.02762342131134339,12.82
NEM.AU,0.03449866533899841,1.5893151415293918,2,1.1175455116133084,0.7106836213455059,True,True,47425596.019999996,0.025808323560267746,157.4
LYC.AU,0.03449866533899841,0.9980574413234544,3,0.9470672389127324,0.4099999999999999,True,True,80678865.92000002,0.038989743112114936,14.1
SFR.AU,0.03449866533899841,0.805749578363165,4,0.7217125382262997,0.687782805429864,True,True,30013752.28,0.02075060988538478,18.65
MIN.AU,0.03449866533899841,0.6835765633678117,5,0.4962209302325582,1.046236559139785,True,True,62540271.945,0.031101692662426638,57.09
NST.AU,0.03449866533899841,0.34003015274565185,6,0.5672902836451417,0.4954627949183301,True,True,152633148.19,0.026539885214919748,24.72
ORI.AU,0.03449866533899841,-0.16022779174410234,7,0.409225310467179,0.2716170004885199,True,True,36841381.504999995,0.010452671356675675,26.03
FMG.AU,0.03449866533899841,-0.44017352835255225,8,0.23145566090351366,0.3437869822485209,True,True,139847703.975,0.015618555915339765,22.71
BSL.AU,0.03449866533899841,-0.5651870893425179,9,0.2235415591120289,0.21802679658952506,True,True,31377621.62,0.026301044099020024,30.0
RIO.AU,0.03449866533899841,-0.6481118581753453,10,0.152385752688172,0.28029353857168426,True,True,142088658.18,0.015439494817718289,143.06
ANZ.AU,0.03449866533899841,-0.6502098655364368,11,0.19733697507681813,0.1785239361702129,True,True,130644157.71000001,0.011794252889901888,35.45
WBC.AU,0.03449866533899841,-0.7400833767296929,12,0.17300613496932526,0.12932061978545883,True,True,134510769.27499998,0.0123566200110783,37.9
BHP.AU,0.03449866533899841,-0.7783079932625195,13,0.12071572580645151,0.2011074754593507,True,True,322571685.6,0.013325538555731545,47.72
NAB.AU,0.03449866533899841,-1.0220464298275969,14,0.06982872200263501,0.03429147755925377,True,True,126704439.185,0.011056321194723509,41.02
WOW.AU,0.03449866533899841,-1.2756637447957542,15,-0.03270564915758167,-0.029677419354838808,True,True,56889153.075,0.009141434769943882,30.08
