symbol,target_weight,current_weight,delta_weight
EVN.AU,0.03449866533899841,0.0,0.03449866533899841
NEM.AU,0.03449866533899841,0.0,0.03449866533899841
LYC.AU,0.03449866533899841,0.0,0.03449866533899841
SFR.AU,0.03449866533899841,0.0,0.03449866533899841
MIN.AU,0.03449866533899841,0.0,0.03449866533899841
NST.AU,0.03449866533899841,0.0,0.03449866533899841
ORI.AU,0.03449866533899841,0.0,0.03449866533899841
FMG.AU,0.03449866533899841,0.0,0.03449866533899841
BSL.AU,0.03449866533899841,0.0,0.03449866533899841
RIO.AU,0.03449866533899841,0.0,0.03449866533899841
ANZ.AU,0.03449866533899841,0.0,0.03449866533899841
WBC.AU,0.03449866533899841,0.0,0.03449866533899841
BHP.AU,0.03449866533899841,0.0,0.03449866533899841
NAB.AU,0.03449866533899841,0.0,0.03449866533899841
WOW.AU,0.03449866533899841,0.0,0.03449866533899841
