feature,psi
mom_6,0.1693397141917854
return_1m_fwd,0.10869811466898256
mom_12_1,0.08462830108664277
adv_20_median,0.06296638254091905
sma200_slope,0.05745410536620848
volume,0.027454625036223097
ret_1d,0.0227061016659297
close,0.014340995246091347
vol_90,0.009376733622331202
sma_200,0.006121475102754669
